,LCI,top3_3,,,,,
5397,0,Anything else,,,,,
5398,5,Anything else,,,,,
5399,1,Anything else,,,,,
5400,2,Both biological parents,,,,,
5401,4,Anything else,,,,,
5402,1,Both biological parents,,,,,
5403,6,Anything else,,,,,
5404,3,"Two parents, biological mother",,,,,
5405,1,Both biological parents,,,,,
5406,0,Biological father only,,,,,
5407,1,Anything else,,,,,
5408,1,Both biological parents,,,,,
5409,3,Both biological parents,,,,,
5410,3,Both biological parents,,,,,
5411,1,Biological mother only,,,,,
5412,5,Biological mother only,,,,,
5413,1,Both biological parents,,,,,
5414,1,Both biological parents,,,,,
5415,1,Anything else,,,,,
5416,0,Adoptive parent(s),,,,,
5417,1,Biological mother only,,,,,
5418,2,Both biological parents,,,,,
5419,1,Biological mother only,,,,,
5420,1,Both biological parents,,,,,
5421,2,Biological father only,,,,,
5422,2,Both biological parents,,,,,
5423,1,Both biological parents,,,,,
5424,1,"Two parents, biological mother",,,,,
5425,1,Both biological parents,,,,,
5426,0,Both biological parents,,,,,
5427,2,Both biological parents,,,,,
5428,1,Both biological parents,,,,,
5429,1,Both biological parents,,,,,
5430,0,Both biological parents,,,,,
5431,0,Both biological parents,,,,,
5432,1,Anything else,,,,,
5433,2,Both biological parents,,,,,
5434,8,Anything else,,,,,
5435,1,"Two parents, biological father",,,,,
5436,3,Anything else,,,,,
5437,4,Anything else,,,,,
5438,3,Both biological parents,,,,,
5439,3,Biological mother only,,,,,
5440,0,Both biological parents,,,,,
5441,4,Anything else,,,,,
5442,1,Anything else,,,,,
5443,7,Biological mother only,,,,,
5444,3,Biological mother only,,,,,
5445,7,Anything else,,,,,
5446,1,"Two parents, biological father",,,,,
5447,5,Anything else,,,,,
5448,7,Anything else,,,,,
5449,4,Anything else,,,,,
5450,5,Anything else,,,,,
5451,2,"Two parents, biological father",,,,,
5452,5,Anything else,,,,,
5453,8,Anything else,,,,,
5454,4,Anything else,,,,,
5455,3,Anything else,,,,,
5456,2,Both biological parents,,,,,
5457,0,Biological mother only,,,,,
5458,1,Biological mother only,,,,,
5459,5,Anything else,,,,,
5460,1,Both biological parents,,,,,
5461,3,Both biological parents,,,,,
5462,1,Both biological parents,,,,,
5463,3,Both biological parents,,,,,
5464,1,"Two parents, biological mother",,,,,
5465,3,Anything else,,,,,
5466,3,Both biological parents,,,,,
5467,1,Both biological parents,,,,,
5468,1,Both biological parents,,,,,
5469,1,Both biological parents,,,,,
5470,3,Both biological parents,,,,,
5471,1,Both biological parents,,,,,
5472,5,Biological father only,,,,,
5474,1,Anything else,,,,,
5475,1,Both biological parents,,,,,
5476,2,Both biological parents,,,,,
5477,1,Biological father only,,,,,
5479,9,Anything else,,,,,
5480,5,Anything else,,,,,
5481,4,Anything else,,,,,
5482,5,Anything else,,,,,
5483,3,Anything else,,,,,
5484,4,Anything else,,,,,
5485,1,"Two parents, biological mother",,,,,
5486,2,Both biological parents,,,,,
5487,1,Anything else,,,,,
5488,6,Anything else,,,,,
5489,3,Anything else,,,,,
5490,3,Both biological parents,,,,,
5491,4,Both biological parents,,,,,
5492,5,Anything else,,,,,
5494,3,Anything else,,,,,
5495,1,Anything else,,,,,
5496,0,Both biological parents,,,,,
5497,4,Both biological parents,,,,,
5498,2,Anything else,,,,,
5499,1,Anything else,,,,,
5501,7,Anything else,,,,,
5502,0,Both biological parents,,,,,
5503,6,"Two parents, biological mother",,,,,
5504,4,"Two parents, biological mother",,,,,
5505,3,"Two parents, biological mother",,,,,
5506,3,Anything else,,,,,
5507,4,"Two parents, biological mother",,,,,
5508,4,Biological mother only,,,,,
5509,1,Biological mother only,,,,,
5510,0,"Two parents, biological mother",,,,,
5511,1,"Two parents, biological mother",,,,,
5512,7,"Two parents, biological mother",,,,,
5514,1,Anything else,,,,,
5515,3,Biological mother only,,,,,
5516,2,Both biological parents,,,,,
5517,1,Anything else,,,,,
5518,5,"Two parents, biological father",,,,,
5519,3,"Two parents, biological mother",,,,,
5520,7,Biological mother only,,,,,
5521,3,Anything else,,,,,
5522,1,Biological father only,,,,,
5523,0,Biological father only,,,,,
5524,1,Anything else,,,,,
5525,1,Both biological parents,,,,,
5526,1,Both biological parents,,,,,
5527,4,Biological mother only,,,,,
5528,2,Biological mother only,,,,,
5529,3,Anything else,,,,,
5530,1,Both biological parents,,,,,
5531,0,Biological mother only,,,,,
5532,0,Both biological parents,,,,,
5533,1,Anything else,,,,,
5534,5,Both biological parents,,,,,
5535,2,Both biological parents,,,,,
5536,1,Both biological parents,,,,,
5537,7,Anything else,,,,,
5538,4,Anything else,,,,,
5539,1,Anything else,,,,,
5540,1,Anything else,,,,,
5541,0,Anything else,,,,,
5542,7,Anything else,,,,,
5543,3,Both biological parents,,,,,
5544,3,Biological father only,,,,,
5545,1,Both biological parents,,,,,
5547,1,Both biological parents,,,,,
5548,1,Anything else,,,,,
5549,3,Anything else,,,,,
5550,2,Anything else,,,,,
5551,1,"Two parents, biological father",,,,,
5552,2,Biological mother only,,,,,
5553,3,Both biological parents,,,,,
5554,3,"No parents, grandparents",,,,,
5555,1,Biological mother only,,,,,
5556,1,Anything else,,,,,
5558,5,Anything else,,,,,
5559,3,Both biological parents,,,,,
5560,1,Both biological parents,,,,,
5561,1,Both biological parents,,,,,
5562,0,Biological mother only,,,,,
5563,1,Both biological parents,,,,,
5564,1,Both biological parents,,,,,
5565,1,Both biological parents,,,,,
5566,0,Anything else,,,,,
5567,3,Biological mother only,,,,,
5568,1,Biological father only,,,,,
5569,5,Biological father only,,,,,
5570,2,Anything else,,,,,
5571,1,Anything else,,,,,
5574,0,Both biological parents,,,,,
5575,1,Adoptive parent(s),,,,,
5576,1,Both biological parents,,,,,
5578,1,Biological mother only,,,,,
5579,0,Both biological parents,,,,,
5580,1,Both biological parents,,,,,
5581,2,Anything else,,,,,
5582,6,"Two parents, biological mother",,,,,
5583,3,Anything else,,,,,
5584,1,Biological mother only,,,,,
5585,3,Biological mother only,,,,,
5586,1,Both biological parents,,,,,
5587,0,Anything else,,,,,
5588,3,Anything else,,,,,
5589,1,Both biological parents,,,,,
5590,2,Biological mother only,,,,,
5591,1,Biological mother only,,,,,
5592,1,Biological mother only,,,,,
5593,9,Anything else,,,,,
5594,3,Both biological parents,,,,,
5595,0,Biological mother only,,,,,
5596,9,Anything else,,,,,
5597,0,"No parents, grandparents",,,,,
5598,0,"Two parents, biological mother",,,,,
5599,3,Both biological parents,,,,,
5600,0,Both biological parents,,,,,
5601,3,Biological mother only,,,,,
5602,1,Both biological parents,,,,,
5603,3,Anything else,,,,,
5605,1,Biological mother only,,,,,
5606,1,Biological mother only,,,,,
5607,1,Both biological parents,,,,,
5608,0,Biological mother only,,,,,
5609,2,Anything else,,,,,
5610,4,Biological mother only,,,,,
5611,0,Biological mother only,,,,,
5612,1,Biological mother only,,,,,
5613,0,Biological mother only,,,,,
5614,0,"Two parents, biological father",,,,,
5615,1,Biological mother only,,,,,
5616,0,Biological mother only,,,,,
5617,0,Anything else,,,,,
5618,1,Anything else,,,,,
5619,0,Both biological parents,,,,,
5621,0,Anything else,,,,,
5622,5,Anything else,,,,,
5623,1,Anything else,,,,,
5624,1,Both biological parents,,,,,
5625,3,Both biological parents,,,,,
5628,0,Both biological parents,,,,,
5629,5,Both biological parents,,,,,
5630,3,Biological mother only,,,,,
5631,3,Biological father only,,,,,
5632,1,Anything else,,,,,
5633,3,Anything else,,,,,
5634,1,Anything else,,,,,
5635,3,Anything else,,,,,
5636,3,Biological mother only,,,,,
5637,2,Biological mother only,,,,,
5638,5,Biological mother only,,,,,
5639,1,Biological mother only,,,,,
5640,3,Anything else,,,,,
5642,1,Anything else,,,,,
5643,1,Anything else,,,,,
5644,0,Both biological parents,,,,,
5645,9,Anything else,,,,,
5646,1,Biological mother only,,,,,
5647,3,"Two parents, biological father",,,,,
5648,2,Anything else,,,,,
5649,5,Anything else,,,,,
5650,7,Anything else,,,,,
5651,0,Anything else,,,,,
5654,0,Both biological parents,,,,,
5655,0,Both biological parents,,,,,
5656,1,Both biological parents,,,,,
5657,1,Anything else,,,,,
5659,3,Anything else,,,,,
5660,4,Both biological parents,,,,,
5661,3,Anything else,,,,,
5662,3,"Two parents, biological mother",,,,,
5663,2,Biological mother only,,,,,
5665,2,Both biological parents,,,,,
5666,6,Both biological parents,,,,,
5667,1,Anything else,,,,,
5668,7,Anything else,,,,,
5669,1,Biological mother only,,,,,
5670,4,"Two parents, biological father",,,,,
5671,3,Biological mother only,,,,,
5672,1,Anything else,,,,,
5673,3,Anything else,,,,,
5674,2,Anything else,,,,,
5675,5,Anything else,,,,,
5676,4,"No parents, grandparents",,,,,
5677,1,Anything else,,,,,
5678,3,Anything else,,,,,
5679,4,Anything else,,,,,
5681,3,"No parents, grandparents",,,,,
5682,1,Anything else,,,,,
5683,1,Anything else,,,,,
5684,1,Anything else,,,,,
5685,1,Both biological parents,,,,,
5686,8,Biological mother only,,,,,
5687,1,Anything else,,,,,
5688,1,Both biological parents,,,,,
5690,1,Anything else,,,,,
5691,1,Both biological parents,,,,,
5692,2,Biological mother only,,,,,
5693,4,Anything else,,,,,
5694,5,"Two parents, biological mother",,,,,
5695,1,Biological mother only,,,,,
5698,0,Both biological parents,,,,,
5699,1,Both biological parents,,,,,
5700,0,Both biological parents,,,,,
5701,1,Biological mother only,,,,,
5702,6,Anything else,,,,,
5703,1,Anything else,,,,,
5704,1,Both biological parents,,,,,
5705,7,Anything else,,,,,
5706,1,Biological father only,,,,,
5707,1,Anything else,,,,,
5708,1,Both biological parents,,,,,
5709,1,"No parents, grandparents",,,,,
5710,1,"No parents, grandparents",,,,,
5711,1,Biological mother only,,,,,
5712,5,Biological mother only,,,,,
5713,0,Biological mother only,,,,,
5714,3,Biological mother only,,,,,
5715,0,Biological mother only,,,,,
5716,1,Anything else,,,,,
5717,1,Both biological parents,,,,,
5718,1,Anything else,,,,,
5719,2,Both biological parents,,,,,
5720,1,Biological mother only,,,,,
5721,2,Both biological parents,,,,,
5723,3,Both biological parents,,,,,
5724,0,"Two parents, biological mother",,,,,
5725,1,"Two parents, biological mother",,,,,
5726,3,Both biological parents,,,,,
5727,3,Anything else,,,,,
5728,3,Both biological parents,,,,,
5729,4,Both biological parents,,,,,
5730,0,Both biological parents,,,,,
5731,0,Both biological parents,,,,,
5732,1,Anything else,,,,,
5734,3,Both biological parents,,,,,
5736,1,Both biological parents,,,,,
5737,3,Anything else,,,,,
5738,9,Both biological parents,,,,,
5739,7,Both biological parents,,,,,
5741,3,Both biological parents,,,,,
5743,0,Both biological parents,,,,,
5744,2,Both biological parents,,,,,
5745,7,Anything else,,,,,
5746,3,Anything else,,,,,
5747,1,Biological mother only,,,,,
5748,1,Both biological parents,,,,,
5749,0,Both biological parents,,,,,
5750,2,Both biological parents,,,,,
5751,2,Both biological parents,,,,,
5752,0,Both biological parents,,,,,
5753,0,Both biological parents,,,,,
5754,3,Both biological parents,,,,,
5755,0,"Two parents, biological mother",,,,,
5756,1,Anything else,,,,,
5757,2,Anything else,,,,,
5758,0,Both biological parents,,,,,
5759,2,Both biological parents,,,,,
5762,1,Both biological parents,,,,,
5763,4,Anything else,,,,,
5764,1,Both biological parents,,,,,
5765,1,Biological mother only,,,,,
5766,5,Anything else,,,,,
5767,1,Both biological parents,,,,,
5768,7,Anything else,,,,,
5769,3,Both biological parents,,,,,
5770,6,Anything else,,,,,
5771,1,Biological mother only,,,,,
5772,1,"No parents, grandparents",,,,,
5773,2,Anything else,,,,,
5774,1,Anything else,,,,,
5775,1,Biological mother only,,,,,
5776,5,Both biological parents,,,,,
5777,1,Both biological parents,,,,,
5779,1,Both biological parents,,,,,
5781,1,Both biological parents,,,,,
5782,1,Anything else,,,,,
5783,8,Biological mother only,,,,,
5784,3,Anything else,,,,,
5785,1,Anything else,,,,,
5786,1,"Two parents, biological mother",,,,,
5787,1,Both biological parents,,,,,
5788,6,Both biological parents,,,,,
5789,0,Biological mother only,,,,,
5790,2,Both biological parents,,,,,
5791,3,"Two parents, biological father",,,,,
5792,5,Anything else,,,,,
5793,3,Biological mother only,,,,,
5794,1,Biological mother only,,,,,
5795,1,Biological mother only,,,,,
5796,7,Anything else,,,,,
5797,0,Biological father only,,,,,
5798,3,Biological mother only,,,,,
5799,0,Biological mother only,,,,,
5800,5,Biological mother only,,,,,
5801,0,Biological mother only,,,,,
5802,3,Biological mother only,,,,,
5803,4,Biological mother only,,,,,
5804,2,Biological mother only,,,,,
5806,2,"Two parents, biological mother",,,,,
5807,7,Anything else,,,,,
5808,2,Anything else,,,,,
5810,0,Biological mother only,,,,,
5812,2,Biological father only,,,,,
5813,0,Biological mother only,,,,,
5814,1,Biological mother only,,,,,
5815,1,Both biological parents,,,,,
5816,6,Anything else,,,,,
5818,0,Biological mother only,,,,,
5819,3,Biological mother only,,,,,
5820,9,Biological father only,,,,,
5821,6,"Two parents, biological mother",,,,,
5822,1,Both biological parents,,,,,
5823,1,Both biological parents,,,,,
5824,2,Biological mother only,,,,,
5825,2,Both biological parents,,,,,
5826,1,Anything else,,,,,
5827,3,Both biological parents,,,,,
5828,1,Both biological parents,,,,,
5829,3,Anything else,,,,,
5830,3,Biological mother only,,,,,
5831,4,"Two parents, biological mother",,,,,
5832,4,Biological mother only,,,,,
5833,0,Anything else,,,,,
5834,2,Biological mother only,,,,,
5835,0,Biological mother only,,,,,
5836,0,Both biological parents,,,,,
5837,0,Biological father only,,,,,
5838,0,Biological father only,,,,,
5839,0,Biological father only,,,,,
5843,1,Anything else,,,,,
5844,0,Both biological parents,,,,,
5845,1,Both biological parents,,,,,
5848,0,Anything else,,,,,
5849,0,Biological mother only,,,,,
5850,1,Anything else,,,,,
5851,1,Both biological parents,,,,,
5852,3,"Two parents, biological mother",,,,,
5853,1,Anything else,,,,,
5855,3,Biological mother only,,,,,
5856,4,"Two parents, biological father",,,,,
5859,6,Anything else,,,,,
5860,0,Both biological parents,,,,,
5862,3,Both biological parents,,,,,
5863,1,Both biological parents,,,,,
5864,1,Both biological parents,,,,,
5865,4,Both biological parents,,,,,
5866,0,Both biological parents,,,,,
5867,1,"Two parents, biological mother",,,,,
5868,3,Anything else,,,,,
5869,3,Anything else,,,,,
5870,1,Biological mother only,,,,,
5872,1,Anything else,,,,,
5873,1,"Two parents, biological mother",,,,,
5874,0,Anything else,,,,,
5875,3,Anything else,,,,,
5876,7,Anything else,,,,,
5877,3,"Two parents, biological mother",,,,,
5878,0,Anything else,,,,,
5879,1,"Two parents, biological mother",,,,,
5880,3,Both biological parents,,,,,
5881,0,"Two parents, biological father",,,,,
5882,0,Both biological parents,,,,,
5883,3,Biological mother only,,,,,
5884,0,Biological mother only,,,,,
5885,4,Biological mother only,,,,,
5886,4,Anything else,,,,,
5887,0,"Two parents, biological mother",,,,,
5889,3,Anything else,,,,,
5890,1,Both biological parents,,,,,
5891,1,Both biological parents,,,,,
5892,1,Anything else,,,,,
5893,3,Both biological parents,,,,,
5894,3,Both biological parents,,,,,
5895,1,Both biological parents,,,,,
5896,4,Anything else,,,,,
5897,6,Anything else,,,,,
5898,1,Anything else,,,,,
5899,0,Both biological parents,,,,,
5900,0,Both biological parents,,,,,
5901,0,Biological mother only,,,,,
5902,4,Both biological parents,,,,,
5903,4,Anything else,,,,,
5904,4,"Two parents, biological mother",,,,,
5905,3,Anything else,,,,,
5906,1,Anything else,,,,,
5907,5,Anything else,,,,,
5908,1,Anything else,,,,,
5909,3,Anything else,,,,,
5911,2,Anything else,,,,,
5912,4,Anything else,,,,,
5913,0,Anything else,,,,,
5915,0,"No parents, other relatives",,,,,
5917,3,Anything else,,,,,
5918,4,Biological mother only,,,,,
5919,0,Biological mother only,,,,,
5920,0,"Two parents, biological mother",,,,,
5921,0,Biological mother only,,,,,
5923,0,Biological mother only,,,,,
5924,1,Biological mother only,,,,,
5925,0,Anything else,,,,,
5926,3,Anything else,,,,,
5927,3,Anything else,,,,,
5928,2,Both biological parents,,,,,
5929,1,"Two parents, biological mother",,,,,
5930,3,"Two parents, biological mother",,,,,
5931,2,Both biological parents,,,,,
5932,3,Both biological parents,,,,,
5934,1,Both biological parents,,,,,
5935,1,Both biological parents,,,,,
5936,3,"Two parents, biological mother",,,,,
5937,3,"Two parents, biological mother",,,,,
5939,2,"Two parents, biological mother",,,,,
5940,0,"Two parents, biological mother",,,,,
5941,0,Anything else,,,,,
5942,2,Anything else,,,,,
5943,1,Biological mother only,,,,,
5944,6,Biological mother only,,,,,
5945,2,Anything else,,,,,
5946,0,"Two parents, biological mother",,,,,
5947,1,Biological mother only,,,,,
5948,2,Biological mother only,,,,,
5949,0,"Two parents, biological mother",,,,,
5951,0,Both biological parents,,,,,
5952,0,Both biological parents,,,,,
5953,1,Anything else,,,,,
5954,0,Both biological parents,,,,,
5956,0,Biological mother only,,,,,
5957,3,Biological father only,,,,,
5958,1,Biological father only,,,,,
5959,1,Both biological parents,,,,,
5960,0,Both biological parents,,,,,
5961,0,Both biological parents,,,,,
5962,1,Anything else,,,,,
5963,3,Anything else,,,,,
5964,3,Both biological parents,,,,,
5965,1,Anything else,,,,,
5967,0,"Two parents, biological mother",,,,,
5968,2,Biological mother only,,,,,
5969,0,Both biological parents,,,,,
5970,0,Both biological parents,,,,,
5971,0,Biological mother only,,,,,
